Index,Top_1,Top_2,Top_3,Health_Risk_Score,Recommendation
14,GENHLTH > 0.39,EDUCA <= -0.82,INCOME2 <= -0.79,80.77,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. It’s okay to be concerned. Your score suggests higher risk—this is a gentle nudge to consider a health check-up soon. You deserve care."
15,GENHLTH > 0.39,EMPLOY1 <= -0.38,INCOME2 <= -0.79,79.65,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
16,EMPLOY1 <= -0.38,-0.31 < _SMOKER3 <= 0.71,MARITAL > 0.51,25.66,"There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
17,-0.52 < GENHLTH <= 0.39,EDUCA <= -0.82,EMPLOY1 <= -0.38,63.7,"Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
18,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,SEX <= -1.20,22.09,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging. You're doing beautifully. Keep honoring your body and mind with the care they deserve."
19,-0.52 < GENHLTH <= 0.39,-0.79 < INCOME2 <= 0.22,-0.31 < _SMOKER3 <= 0.71,32.78,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace."
20,GENHLTH > 0.39,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,74.63,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
21,GENHLTH > 0.39,EMPLOY1 <= -0.38,SEX <= -1.20,63.13,"Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
22,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,-0.31 < _SMOKER3 <= 0.71,35.71,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
23,-0.52 < GENHLTH <= 0.39,EMPLOY1 <= -0.38,-0.67 < YEAR <= 0.04,44.54,"Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
24,EDUCA <= -0.82,EMPLOY1 <= -0.38,-0.31 < _SMOKER3 <= 0.71,44.4,"Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
25,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,-0.31 < _SMOKER3 <= 0.71,23.36,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging. You're doing beautifully. Keep honoring your body and mind with the care they deserve."
26,-0.52 < GENHLTH <= 0.39,EMPLOY1 <= -0.38,SEX <= -1.20,61.12,"Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
27,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,0.04 < YEAR <= 0.75,38.0,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
28,-0.52 < GENHLTH <= 0.39,EMPLOY1 <= -0.38,SEX <= -1.20,52.72,"Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
29,EMPLOY1 <= -0.38,AGE > 0.04,-0.31 < _SMOKER3 <= 0.71,25.95,"There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
30,INCOME2 <= -0.79,EMPLOY1 <= -0.38,0.04 < YEAR <= 0.75,35.92,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
31,GENHLTH > 0.39,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,72.33,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
32,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,AGE > 0.04,35.28,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
33,INCOME2 <= -0.79,EMPLOY1 <= -0.38,MARITAL > 0.51,42.34,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
34,-0.79 < INCOME2 <= 0.22,-0.31 < _SMOKER3 <= 0.71,MARITAL > 0.51,21.27,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. You're doing beautifully. Keep honoring your body and mind with the care they deserve."
35,-0.52 < GENHLTH <= 0.39,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,47.87,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
36,EMPLOY1 <= -0.38,-0.31 < _SMOKER3 <= 0.71,YEAR <= -0.67,17.41,"There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging. You're doing beautifully. Keep honoring your body and mind with the care they deserve."
37,EDUCA <= -0.82,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,39.03,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
38,GENHLTH > 0.39,EDUCA <= -0.82,-0.79 < INCOME2 <= 0.22,80.65,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. It’s okay to be concerned. Your score suggests higher risk—this is a gentle nudge to consider a health check-up soon. You deserve care."
39,GENHLTH > 0.39,EDUCA <= -0.82,INCOME2 <= -0.79,74.33,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace."
40,EDUCA <= -0.82,INCOME2 <= -0.79,EMPLOY1 <= -0.38,48.62,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
41,-0.52 < GENHLTH <= 0.39,EDUCA <= -0.82,EMPLOY1 <= -0.38,65.35,"Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
42,EDUCA <= -0.82,INCOME2 <= -0.79,EMPLOY1 <= -0.38,51.86,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
43,GENHLTH > 0.39,EDUCA <= -0.82,EMPLOY1 <= -0.38,71.2,"Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
44,GENHLTH > 0.39,-0.79 < INCOME2 <= 0.22,-0.31 < _SMOKER3 <= 0.71,70.12,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace."
45,EMPLOY1 <= -0.38,-0.31 < _SMOKER3 <= 0.71,YEAR <= -0.67,23.28,"There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging. You're doing beautifully. Keep honoring your body and mind with the care they deserve."
46,-0.52 < GENHLTH <= 0.39,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,58.56,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
47,GENHLTH > 0.39,EDUCA <= -0.82,EMPLOY1 <= -0.38,79.43,"Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
48,GENHLTH > 0.39,EDUCA <= -0.82,EMPLOY1 <= -0.38,80.53,"Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging. It’s okay to be concerned. Your score suggests higher risk—this is a gentle nudge to consider a health check-up soon. You deserve care."
49,EDUCA <= -0.82,INCOME2 <= -0.79,EMPLOY1 <= -0.38,41.84,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
50,GENHLTH > 0.39,EDUCA <= -0.82,INCOME2 <= -0.79,68.57,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace."
51,EMPLOY1 <= -0.38,SEX <= -1.20,YEAR <= -0.67,29.35,"Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
52,-0.52 < GENHLTH <= 0.39,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,50.84,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
53,INCOME2 <= -0.79,EMPLOY1 <= -0.38,-0.31 < _SMOKER3 <= 0.71,21.63,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging. You're doing beautifully. Keep honoring your body and mind with the care they deserve."
54,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,0.04 < YEAR <= 0.75,24.25,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging. You're doing beautifully. Keep honoring your body and mind with the care they deserve."
55,-0.52 < GENHLTH <= 0.39,EDUCA <= -0.82,EMPLOY1 <= -0.38,61.42,"Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
56,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,-0.31 < _SMOKER3 <= 0.71,41.2,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
57,INCOME2 <= -0.79,EMPLOY1 <= -0.38,-0.31 < _SMOKER3 <= 0.71,35.88,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
58,EDUCA <= -0.82,INCOME2 <= -0.79,-0.31 < _SMOKER3 <= 0.71,46.33,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win."
59,EMPLOY1 <= -0.38,-0.31 < _SMOKER3 <= 0.71,SEX <= -1.20,31.86,"There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
60,EMPLOY1 <= -0.38,-0.31 < _SMOKER3 <= 0.71,SEX <= -1.20,18.65,"There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging. You're doing beautifully. Keep honoring your body and mind with the care they deserve."
61,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,SEX <= -1.20,42.69,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
62,-0.52 < GENHLTH <= 0.39,EDUCA <= -0.82,INCOME2 <= -0.79,60.16,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace."
63,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,-1.20 < SEX <= 0.83,23.78,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging. You're doing beautifully. Keep honoring your body and mind with the care they deserve."
64,EMPLOY1 <= -0.38,SEX <= -1.20,YEAR > 0.75,34.35,"Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
65,GENHLTH > 0.39,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,72.91,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
66,GENHLTH > 0.39,EDUCA <= -0.82,EMPLOY1 <= -0.38,80.57,"Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging. It’s okay to be concerned. Your score suggests higher risk—this is a gentle nudge to consider a health check-up soon. You deserve care."
67,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,-0.31 < _SMOKER3 <= 0.71,30.18,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
68,-0.52 < GENHLTH <= 0.39,INCOME2 <= -0.79,SEX <= -1.20,56.44,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace."
69,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,MARITAL <= -0.76,46.24,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
70,GENHLTH > 0.39,EDUCA <= -0.82,EMPLOY1 <= -0.38,75.15,"Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
71,EMPLOY1 <= -0.38,-0.31 < _SMOKER3 <= 0.71,SEX <= -1.20,18.53,"There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging. You're doing beautifully. Keep honoring your body and mind with the care they deserve."
72,EMPLOY1 <= -0.38,YEAR <= -0.67,MARITAL <= -0.76,33.17,"Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
73,-0.52 < GENHLTH <= 0.39,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,47.42,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
74,-0.52 < GENHLTH <= 0.39,-0.79 < INCOME2 <= 0.22,0.04 < YEAR <= 0.75,54.87,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace."
75,-0.52 < GENHLTH <= 0.39,EMPLOY1 <= -0.38,-0.31 < _SMOKER3 <= 0.71,47.87,"There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
76,GENHLTH > 0.39,EDUCA <= -0.82,INCOME2 <= -0.79,76.36,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace."
77,GENHLTH > 0.39,EDUCA <= -0.82,-0.79 < INCOME2 <= 0.22,70.32,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace."
78,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,MARITAL <= -0.76,27.95,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
79,-0.52 < GENHLTH <= 0.39,EMPLOY1 <= -0.38,-0.31 < _SMOKER3 <= 0.71,50.1,"There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
80,-0.52 < GENHLTH <= 0.39,EDUCA <= -0.82,INCOME2 <= -0.79,63.69,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace."
81,EMPLOY1 <= -0.38,-0.31 < _SMOKER3 <= 0.71,,14.75,"There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging. You're doing beautifully. Keep honoring your body and mind with the care they deserve."
82,-0.52 < GENHLTH <= 0.39,EDUCA <= -0.82,EMPLOY1 <= -0.38,31.02,"Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
83,GENHLTH > 0.39,EDUCA <= -0.82,EMPLOY1 <= -0.38,70.94,"Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
